 3      University Physics      Sears and Zemansky's
 4      University Chemistry      Bruce H. Mahan
 5      Robinson Crusoe      Daniel Defoe
 6      Gulliver's Travels      Jonathan Swift
 7      Treasure Island      Robert Louis Stevenson
 8      Romeo and Juliet      William Shakespeare
 9      Geetanjali      Rabindranath Tagore
 10      The Canterville Ghost      Oscar Wilde
 11      A Passage to India      E. M. Forster
 12      Invisible Man      Ralph Ellison
 13      All The King's Men      Robert Penn Warren
 14      Nostromo      Joseph Conrad
 15      Aesop's Fables      Aesop
 16      A Brief History of Time      Stephen Hawking
 17      The Theory of Everything      Stephen Hawking
 18      The Feynman Lectures on Physics      Richard Feynman
 19      The Sceptical Chymist      Robert Boyle
 20      Dune      Frank Herbert
 21      Mahabharata      Vyasa
 22      Three Men in a Boat      Jerome K. Jerome
 23      Devdas      Sarat Chandra Chatterjee
 24      Oliver Twist      Charles Dickens
 25      Hard Times      Charles Dickens
 26      The Last Leaf      William Sydney Porter
 27      War and Peace      Leo Tolstoy
 28      Fantastic Beasts and Where to Find Them      J. K. Rowling
 29      Ramayana      Valmiki
